ETF,ESG_score,Peer_Group_Percentile,Global_Percentile,,,,
VGSH.Adjusted,6.89,97,91,,,,
PZD.Adjusted,6.59,87,84,,,,
ICLN.Adjusted,6.58,94,84,,,,
PBW.Adjusted,5.22,70,40,,,,
QCLN.Adjusted,5.25,72,41,,,,
TAN.Adjusted,5.43,80,47,,,,
GEX.Adjusted,6.43,93,80,,,,
FAN.Adjusted,6.81,97,89,,,,
PBD.Adjusted,6.24,91,75,,,,
YLCO.Adjusted,5.7,0,57,,,,
SPYX.Adjusted,5.47,68,48,,,,
EFAX.Adjusted,6.66,82,86,,,,
EEMX.Adjusted,4.54,50,19,,,,
CRBN.Adjusted,5.81,0,61,,,,
LOWC.Adjusted,5.81,0,61,,,,
PHO.Adjusted,5.48,81,49,,,, 
PIO.Adjusted,6.24,90,75,,,,
CGW.Adjusted,5.4,79,45,,,,
FIW.Adjusted,5.35,74,44,,,,
TBLU.Adjusted,6.01,90,67,,,,
EQLT.Adjusted,5.63,0,54,,,,
WIL.Adjusted,5,,,,,,
SHE.Adjusted,5.56,0,52,,,,
ESGE.Adjusted,6.1,97,70,,,,
ESGD.Adjusted,7.73,99,99,,,,
DSI.Adjusted,6.66,99,86,,,,
SUSA.Adjusted,8.19,100,100,,,,
ESGU.Adjusted,6.5,98,82,,,,
ESGG.Adjusted,6.36,78,78,,,,
XLK.Adjusted,7.17,97,95,,,,
ARKQ.Adjusted,4.86,17,27,,,,
BOTZ.Adjusted,5.65,52,55,,,,
XT.Adjusted,5.75,58,58,,,,
ROBO.Adjusted,5.55,45,51,,,,
XITK.Adjusted,4.45,10,17,,,,
SKYY.Adjusted,6.2,75,73,,,,
FINX.Adjusted,4.74,15,24,,,,
ARKW.Adjusted,4.89,20,28,,,,
ARKK.Adjusted,3.94,5,8,,,,
IPAY.Adjusted,5.1,27,36,,,,
PRNT.Adjusted,5.88,63,63,,,,
