"Index","VGSH.Adjusted","PZD.Adjusted","ICLN.Adjusted","PBW.Adjusted","QCLN.Adjusted","TAN.Adjusted","GEX.Adjusted","FAN.Adjusted","PBD.Adjusted","YLCO.Adjusted","SPYX.Adjusted","EFAX.Adjusted","EEMX.Adjusted","CRBN.Adjusted","LOWC.Adjusted","PHO.Adjusted","PIO.Adjusted","CGW.Adjusted","FIW.Adjusted","TBLU.Adjusted","EQLT.Adjusted","WIL.Adjusted","SHE.Adjusted","ESGE.Adjusted","ESGD.Adjusted","DSI.Adjusted","SUSA.Adjusted","ESGU.Adjusted","ESGG.Adjusted","XLK.Adjusted","ARKQ.Adjusted","BOTZ.Adjusted","XT.Adjusted","ROBO.Adjusted","XITK.Adjusted","SKYY.Adjusted","FINX.Adjusted","ARKW.Adjusted","ARKK.Adjusted","IPAY.Adjusted","PRNT.Adjusted"
"2017-02-15",58.675022,33.91716,8.253494,18.921349,16.434551,18.125584,53.668556,11.799446,10.602765,10.186495,54.7239,59.687298,54.044132,98.437103,74.68853,25.613451,21.272381,28.871561,40.850807,24.461168,31.207205,60.349998,57.584129,28.637014,55.409988,83.715256,93.830086,48.531654,78.45858,50.217915,23.546976,16.371063,28.222754,31.371717,61.535648,37.136341,15.743418,24.667738,22.160473,27.237909,22.542698
"2017-02-16",58.723331,33.946732,8.27247,18.825302,16.336206,17.989008,53.609665,11.865524,10.622059,10.186495,54.60812,59.687298,54.044132,98.514572,75.300049,25.553932,21.291809,28.86194,40.684116,24.461168,31.15855,60.349998,57.521729,28.781038,55.556202,83.55072,93.801079,48.531654,78.45858,50.334053,23.29327,16.361208,28.281343,31.331879,61.322823,37.205341,15.717495,24.507559,21.980648,27.163448,22.241741
"2017-02-17",58.752316,34.035412,8.281955,19.017397,16.464062,18.076807,53.334846,11.771129,10.641356,10.286901,54.752842,59.687298,54.044132,98.189384,75.258072,25.563852,21.214104,28.71763,40.556644,24.350267,31.100164,60.349998,57.557762,28.569799,55.457458,83.715256,93.975067,48.531654,78.45858,50.508255,23.379435,16.459768,28.31064,31.471312,61.342171,37.234924,15.753388,24.563839,22.13369,27.292515,22.29999
"2017-02-21",58.752316,34.242344,8.376823,19.545656,16.749279,18.496288,54.453758,11.799446,10.786071,10.399171,55.109829,59.687298,54.044132,98.734566,75.6931,25.792011,21.340374,29.006248,40.899837,24.728685,31.596445,60.349998,57.918102,28.932743,55.631207,84.295944,94.641953,48.531654,78.45858,50.769554,23.544104,16.504122,28.447363,31.760128,61.719452,37.491238,15.818197,24.823589,22.191084,27.491079,22.36795
"2017-02-22",58.771637,34.104393,8.310416,19.161469,16.532906,18.262159,53.933563,11.818327,10.708888,10.13173,55.072197,59.696743,54.044132,98.772812,75.641586,25.831694,21.340374,28.938904,41.037117,24.835695,31.333708,60.349998,57.882954,29.016277,55.609375,84.14109,94.603294,48.531654,78.45858,50.827625,23.542191,16.459768,28.447363,31.710333,61.748478,37.648968,15.856084,24.815796,22.165257,27.491079,22.290283
"2017-02-23",58.7813,34.291615,8.281955,19.161469,16.483732,18.486534,53.776524,11.638974,10.708888,10.396433,55.109829,60.240295,54.948517,99.124794,75.920151,25.722574,21.243242,28.88118,40.703728,24.728685,31.27532,61.470001,57.944469,29.021078,55.742294,84.112068,94.554977,48.531654,79.359528,50.817947,23.063496,16.523832,28.4083,31.620701,61.187389,37.530674,15.930863,24.693714,21.971085,27.649929,22.212616
"2017-02-24",58.839275,34.183224,8.20606,19.30554,16.621424,18.496288,53.403553,11.544577,10.651002,10.359921,55.074123,60.240295,54.948517,98.514572,75.414536,25.831694,21.223814,28.784973,40.76255,24.728685,31.24613,61.470001,57.997204,28.699421,55.267567,84.228195,94.883591,48.531654,79.359528,50.934086,22.977331,16.361208,28.398535,31.411554,61.139019,37.520821,15.899955,24.600204,21.865868,27.788923,22.086409
"2017-02-27",58.7813,34.429569,8.215548,19.30554,16.690269,18.632868,53.148365,11.487941,10.689593,10.359921,55.269985,60.204437,54.948517,98.495453,75.557632,26.010252,21.301521,28.900423,41.066544,24.8892,31.294785,61.419998,58.296028,28.584202,55.305546,84.266922,94.883591,49.761768,78.995316,50.905041,23.070198,16.38092,28.564548,31.471312,61.2938,37.451801,15.979719,24.654751,22.258038,27.868347,22.270868
"2017-02-28",58.742657,34.133949,8.168114,19.017397,16.395214,18.301182,52.93243,11.5257,10.679945,10.332538,55.051937,59.838291,54.948517,98.393105,75.375412,25.762251,21.272381,28.938904,40.684116,24.728685,31.139088,61.43,57.919861,28.584202,55.400494,83.986237,94.612961,49.761768,78.995316,50.663097,22.795427,16.351351,28.4083,31.242249,60.558582,37.274353,15.952799,24.459938,22.119343,27.630074,21.892242
"2017-03-01",58.664333,34.735046,8.253494,18.969374,16.483732,18.193871,53.678368,11.657853,10.718536,10.213878,55.910618,59.838291,54.948517,99.490158,75.375412,26.16897,21.554073,29.29487,41.507793,25.201471,31.615908,61.599998,58.709099,28.80024,55.723305,85.12825,95.811455,49.761768,78.995316,51.37925,23.178383,16.61648,28.701269,31.819885,61.477604,37.708126,15.977724,24.693714,22.473253,27.818708,22.144659
"2017-03-02",58.654663,34.380302,8.187087,19.113443,16.395214,17.998764,53.315216,11.591776,10.641356,10.15181,55.592228,59.876041,53.729977,98.799599,75.375412,25.881292,21.43751,29.121696,40.860615,24.948542,31.431017,61.599998,58.436638,28.405611,55.577091,84.53788,95.134895,49.761768,79.541626,51.040535,22.967756,16.489336,28.535254,31.541025,61.032608,37.471523,15.892975,24.529203,22.238907,27.68964,21.775743
"2017-03-03",58.654663,34.350739,8.225035,18.921349,16.267359,17.803654,53.128735,11.638974,10.631707,10.141769,55.630821,59.876041,53.729977,99.117134,75.934471,25.871372,21.476368,29.198662,40.870426,24.660591,31.489403,61.599998,58.357548,28.62549,55.799263,84.489517,95.154213,49.761768,79.501366,51.156666,22.737984,16.474554,28.603615,31.570904,60.761738,37.550388,15.875029,24.481583,22.191084,27.829628,21.756325
"2017-03-06",58.654663,34.17337,8.158627,18.777281,16.169006,17.764631,52.75576,11.591776,10.583468,10.177367,55.452328,60.253506,53.729977,98.944977,75.614868,25.722574,21.418081,29.092834,40.64489,24.614868,31.333708,61.599998,58.172104,28.608206,55.590382,84.247559,94.815933,49.761768,79.501366,51.079243,22.623096,16.400631,28.515724,31.411554,60.645649,37.501102,16.009628,24.55518,22.258038,27.669785,21.674776
"2017-03-07",58.645008,34.074833,8.177601,18.729254,16.119829,17.598791,52.520199,11.582335,10.564174,10.189234,55.283493,59.998722,53.729977,98.715424,75.443161,25.692812,21.37923,28.996628,40.615471,24.582767,31.207205,61.360001,57.786274,28.627409,55.485943,84.044296,94.593643,49.761768,79.167839,51.079243,22.584801,16.339523,28.369234,31.351799,60.713364,37.501102,16.011623,24.409718,22.234125,27.649929,21.698076
"2017-03-08",58.596645,34.005856,8.14914,18.729254,16.080492,17.540258,52.490753,11.5257,10.554525,10.122602,55.090527,60.172356,53.869923,98.304153,75.366829,25.51425,21.252956,28.727251,40.105576,24.32984,31.15855,60.945,57.724754,28.52179,55.315044,83.821716,94.400322,49.87709,79.024078,51.13731,22.661394,16.351351,28.339941,31.411554,60.916523,37.422222,16.017609,24.382013,22.228386,27.630074,21.688368
"2017-03-09",58.596645,33.996002,8.082732,18.633207,16.011646,17.491482,52.176674,11.50682,10.515935,10.08609,55.283493,60.178017,53.869923,98.238159,75.269524,25.34561,21.23353,28.70801,39.801594,24.397932,31.197475,60.929001,57.724754,28.243343,55.523926,83.831413,94.342346,49.829033,79.129494,51.127636,22.383749,16.336569,28.447363,31.292044,60.819782,37.501102,15.916904,24.390671,21.994997,27.602272,21.511677
"2017-03-10",58.596645,34.2719,8.101707,18.633207,16.080492,17.432949,52.42205,11.572898,10.544879,10.140857,55.601871,60.178017,53.869923,98.973671,75.523293,25.613451,21.418081,28.958147,40.321297,24.124575,31.285055,60.929001,57.988415,28.507387,55.959721,84.112068,94.699951,49.829033,79.541626,51.398613,22.450768,16.489336,28.632912,31.570904,61.168041,37.737698,15.916904,24.589813,22.200645,27.699568,21.763123
"2017-03-13",58.596645,34.281761,8.168114,18.729254,16.208345,17.579281,52.637981,11.601216,10.593116,10.195623,55.592228,60.178017,54.386845,99.164963,75.956406,25.732491,21.505505,29.14094,40.50761,24.310381,31.35317,60.929001,58.049942,28.910662,56.173347,84.247559,94.883591,49.829033,79.541626,51.446999,22.746601,16.745598,28.701269,31.730253,61.709782,37.806702,16.172148,24.754322,22.411079,27.649929,21.901951
"2017-03-14",58.596645,34.183224,8.12068,18.681231,16.129663,17.374414,52.647793,11.459622,10.544879,10.195623,55.331726,60.111958,54.415409,98.820641,75.672112,25.454731,21.350088,28.86194,40.16441,24.125547,31.15855,60.929001,57.812637,28.776236,55.750843,84.0056,94.632301,49.848255,79.541626,51.330868,22.737984,16.666748,28.559671,31.48127,61.429237,37.717983,16.162178,24.667738,22.363253,27.639999,21.756325
"2017-03-15",58.664333,34.636509,8.234522,18.873323,16.395214,17.647568,53.050213,11.601216,10.689593,10.332538,55.872021,60.772526,54.405884,100.025772,76.42292,25.920971,21.680344,29.29487,40.997902,24.320108,31.15855,61.691002,58.339966,29.414749,56.511349,84.799194,95.540825,49.848255,79.963333,51.679264,23.073071,16.81459,28.877048,31.879639,61.932274,38.003868,16.222002,24.858223,22.568903,27.858419,21.897097
"2017-03-16",58.645008,34.616798,8.291442,19.113443,16.503403,17.891455,53.580223,11.676733,10.728184,10.422902,55.727299,61.385914,55.786263,100.150108,76.628036,25.732491,21.61235,29.371834,40.76255,24.485487,31.508867,61.691002,58.085094,29.645666,56.80378,84.702415,95.415176,49.848255,79.963333,51.708302,23.18317,16.873728,28.867285,31.899559,62.222496,38.201038,16.356604,24.996758,22.688467,28.027197,22.133009
"2017-03-17",58.683662,34.853287,8.262981,19.079718,16.493567,17.520746,53.796154,11.752249,10.737831,10.442071,55.745705,61.599926,56.015678,99.977943,76.692902,25.891212,21.7192,29.516144,41.046925,24.636272,31.479671,61.691002,58.04361,29.597179,57.014557,84.683052,95.453827,49.848255,80.365891,51.820023,23.394753,17.02157,28.92588,32.098743,62.203152,38.161602,16.341648,24.970781,22.681772,28.067904,22.105825
"2017-03-20",58.712677,34.715332,8.234522,19.031536,16.424721,17.423193,53.472256,11.771129,10.766773,10.277773,55.425079,61.599926,55.786263,99.93013,76.659523,25.722574,21.738626,29.496901,40.772369,24.500078,31.392092,61.689999,57.888294,29.861225,56.919617,84.518539,95.444176,49.848255,80.20237,51.868591,23.379435,17.042269,28.94541,32.098743,62.106407,38.171467,16.231972,24.969917,22.669338,27.878277,22.026217
"2017-03-21",58.75135,34.2719,8.073247,18.453362,15.962465,17.081753,52.500572,11.714491,10.622059,10.341667,54.873928,61.552578,55.872295,98.92585,76.659523,25.454731,21.748343,29.400696,40.105576,24.417389,30.925009,61.689999,57.108135,29.588537,56.73922,83.531372,94.303673,49.559952,80.53904,51.110828,22.747557,16.883583,28.457129,31.640617,60.539242,37.530674,15.907931,24.360367,22.037083,27.431509,21.610703
"2017-03-22",58.75135,34.242344,8.044785,18.597904,16.041145,16.984198,52.323898,11.761689,10.622059,10.223006,54.990158,61.552578,53.788433,99.126701,75.929695,25.484491,21.738626,29.525764,40.223244,24.222826,30.944468,61.689999,57.293468,29.697998,56.672756,83.628166,94.641953,49.559952,80.53904,51.431423,22.743729,16.883583,28.584084,31.60078,60.519894,37.708126,15.843123,24.285902,22.018909,27.470228,21.406828
